time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-28 00:00:00+00:00,43,11,0,0
2026-04-29 00:00:00+00:00,15,6,0,0
2026-04-30 00:00:00+00:00,18,9,4,4
2026-05-01 00:00:00+00:00,30,9,7,7
2026-05-02 00:00:00+00:00,28,9,0,0
2026-05-03 00:00:00+00:00,6,5,0,0
2026-05-04 00:00:00+00:00,21,10,0,0
2026-05-05 00:00:00+00:00,25,9,1,1
2026-05-06 00:00:00+00:00,35,13,0,0
2026-05-07 00:00:00+00:00,34,12,0,0
2026-05-08 00:00:00+00:00,17,7,0,0
2026-05-09 00:00:00+00:00,11,6,0,0
2026-05-10 00:00:00+00:00,15,6,2,1
2026-05-11 00:00:00+00:00,20,6,0,0
